AG,start_age,Sex,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0_to_4,0,Females,109020,107520,105170,101420,99240,96890,94810,94580,94840,97130,95550,92450,91870,89820,89000,89680,91540
0_to_4,0,Males,116830,115650,112760,108670,105720,102750,99870,99160,99250,100730,98960,95950,95030,93660,92540,93890,95720
10_to_14,10,Females,113720,119660,125270,125840,125060,125720,124830,123920,123760,121120,119090,117090,113730,110320,107870,105040,101990
10_to_14,10,Males,121740,127490,132620,133470,132380,133100,131860,131430,130210,127630,125400,123530,119800,116040,112940,109410,105630
15_to_19,15,Females,102320,101960,101650,103830,110400,114100,120000,125820,129020,129440,129870,128270,126850,125100,120870,118640,116870
15_to_19,15,Males,109050,109010,108210,110400,117160,120920,126620,131690,134020,133490,134040,132680,132160,130140,126630,124390,122980
20_to_24,20,Females,106140,107230,108110,108070,107160,108460,108480,107980,112000,120850,123290,127000,131920,132950,131100,130730,128810
20_to_24,20,Males,106310,107560,108120,107400,108250,110680,111350,110650,113530,121030,124020,128350,132780,134210,132970,133610,132070
25_to_29,25,Females,137900,136010,136540,130930,129000,129660,131820,132630,136440,142310,141360,135480,131620,131720,136410,138650,142910
25_to_29,25,Males,129340,126840,126310,120040,117760,118300,120040,122030,126760,132140,131390,127190,123080,124100,129410,132560,137320
30_to_34,30,Females,148480,147720,149630,148990,150940,152010,152380,152980,150700,154670,155710,155690,154780,155710,153430,152820,150020
30_to_34,30,Males,141850,139010,139600,138330,139720,141550,141000,141420,139100,142700,143150,141980,140700,141340,138940,137900,135650
35_to_39,35,Females,160620,161240,160680,155620,153010,152140,152390,154580,157310,162270,163810,162160,161710,158150,157020,157360,158510
35_to_39,35,Males,162070,161690,160110,154960,149910,147090,145870,147360,149870,155050,156280,154130,152280,147410,144990,143860,143610
40_to_44,40,Females,154860,157430,159020,157460,159130,159540,160540,159870,158340,157320,156550,156010,157650,159960,161740,162330,161010
40_to_44,40,Males,157730,160660,161890,160940,162000,161960,162600,161200,159000,155750,152960,150710,151210,152740,154310,154570,152440
45_to_49,45,Females,129810,136060,142110,145050,149130,152350,154710,156070,157230,159620,160250,161030,159850,158170,155340,153870,153790
45_to_49,45,Males,132460,138650,144800,147880,151640,155430,158280,159630,160800,162890,163230,162980,161070,158370,153230,149580,147500
50_to_54,50,Females,102930,111510,114720,115930,120940,126050,132550,138540,143630,147790,150290,152720,153960,155220,156850,156690,157480
50_to_54,50,Males,103750,112470,115750,117390,123240,128190,134630,140920,145720,149640,152790,155470,156690,157810,158740,158440,158250
55_to_59,55,Females,63230,63170,72000,79520,87810,99310,107650,110650,114520,119530,123970,130060,135480,140400,144160,147240,149370
55_to_59,55,Males,61960,62480,71350,78440,87060,98570,107130,110330,114980,120460,124840,130730,136420,140770,144350,147920,150350
5_to_9,5,Females,124420,123340,122460,119770,116360,115000,113830,111230,108450,107710,105550,102140,101340,101220,101310,100690,99190
5_to_9,5,Males,132310,130840,130780,127370,124320,122450,121550,118410,115360,113780,110310,106100,105150,104610,104690,103830,102500
60_to_64,60,Females,56560,60910,63720,62970,63280,60370,60410,68930,77960,85980,97320,105400,108260,112010,116430,120880,126750
60_to_64,60,Males,54160,57740,59840,58970,59710,57350,57980,66720,75340,83710,94880,102900,105860,110340,115210,119670,125180
65_to_69,65,Females,46280,46980,46820,47070,50280,52940,57120,60080,60700,60990,58270,58420,66540,75380,82980,93870,101800
65_to_69,65,Males,42180,42820,42780,42970,45820,48330,51760,53830,54660,55490,53360,54240,62450,70560,78280,88750,96400
70_to_74,70,Females,35910,37230,38130,38020,39430,41700,42560,42540,43810,47100,49800,54020,56630,57210,57520,54890,55180
70_to_74,70,Males,31140,31970,32650,32120,33240,34970,35970,36260,37630,40430,42980,46260,47920,48720,49500,47790,48680
75_to_79,75,Females,22060,23520,25390,24840,27700,29840,31270,32430,33460,34750,37020,37880,38070,39460,42660,45210,49070
75_to_79,75,Males,17640,19070,20530,18170,20320,21870,23180,24440,25730,26840,28320,29130,29740,31210,33850,36280,39090
80_to_84,80,Females,14070,14670,15340,15870,16360,16910,17980,19270,20710,22690,24410,25650,26680,27650,29000,30920,31890
80_to_84,80,Males,8920,9360,10070,10120,10590,11110,11660,12350,13200,14550,15570,16610,17550,18660,19630,20930,21950
85_and_over,85,Females,11430,12170,13010,13430,14230,15120,15970,16730,17840,18760,19700,20970,22550,24220,26000,27780,29310
85_and_over,85,Males,6230,6470,6870,6750,7180,7400,7910,8270,8780,9310,9680,10270,11050,11950,12960,14090,14940
